## Alexa Studio (with ND Filter) ACES conversion matrices
## 13-Nov-2013
"CCT" "RR" "RG" "RB" "GR" "GG" "GB" "BR" "BG" "BB"
2000 0.754107821331119 0.0883375875517086 0.157554591117173 -0.044582741510936 1.08635370334894 -0.0417709618380039 0.00382064014491333 -0.576332845758966 1.57251220561405
2100 0.752502953796036 0.0893275994089008 0.158169446795063 -0.0317474425410304 1.06994681665985 -0.0381993741188177 0.0167271600412407 -0.574303172208771 1.55757601216753
2200 0.75104059508573 0.0914693152282108 0.157490089686059 -0.0209373228354742 1.05776521701093 -0.0368278941754549 0.026912411913694 -0.569793229179384 1.54288081726569
2400 0.748486362585093 0.0975625688039218 0.153951068610985 -0.00382970251356118 1.0419911895818 -0.0381614870682426 0.0416387809513661 -0.557293657802714 1.51565487685135
2600 0.74640268401676 0.10460454267072 0.14899277331252 0.00902673611351476 1.0335756136084 -0.0426023497219191 0.0515081475287809 -0.543492911267321 1.49198476373854
2900 0.744124890053248 0.115193887557785 0.140681222388966 0.0232109005827809 1.02883102328168 -0.0520419238644577 0.0611654598013681 -0.523913270036783 1.46274781023542
3200 0.742758024432663 0.124956578989576 0.132285396577761 0.0335025036387747 1.02940408854049 -0.0629065921792693 0.0673896983802174 -0.506999677449941 1.43960997906972
3500 0.742146817527031 0.133637141176776 0.124216041296194 0.0413246059203607 1.0328690723201 -0.0741936782404654 0.0717261941348008 -0.492800864530799 1.421074670396
3900 0.742243432280488 0.143577745346415 0.114178822373097 0.049267162740309 1.0398579892377 -0.0891251519780104 0.0758463042612005 -0.477437912640207 1.40159160837901
4300 0.739342924847741 0.158938653724843 0.101718421427416 0.0543543917526922 1.0418848779467 -0.096239269699395 0.0752440559642476 -0.464281682985038 1.38903762702079
4700 0.7392313547603 0.167716369548268 0.0930522756914322 0.0593589213090176 1.04988281403475 -0.109241735343766 0.0779205592566986 -0.453619563863108 1.37569900460641
5100 0.740046703231306 0.174896891609694 0.0850564051589992 0.0634778492532922 1.05830039810319 -0.121778247356481 0.080130238001595 -0.444917575805394 1.3647873378038
5600 0.741899082377154 0.182159929293229 0.0759409883296168 0.0676946370314319 1.0688798646777 -0.136574501709133 0.0824110718127104 -0.436201361826169 1.35379029001346
6500 0.746377591720253 0.191244170168909 0.0623782381108378 0.0733839079808591 1.08634425740488 -0.159728165385743 0.0854243581332346 -0.425092422731921 1.33966806459869
7500 0.751850275881271 0.199409800495577 0.0487399236231509 0.0780387544172315 1.10490710447635 -0.18294585889358 0.0882140232687818 -0.416536556779603 1.32832253351082
9000 0.759491261037105 0.207031364020257 0.0334773749426382 0.0827802101706238 1.12713330000752 -0.209913510178141 0.0910619760817112 -0.40879586601605 1.31773388993434
11000 0.767865379598562 0.213487725624869 0.0186468947765691 0.0868609513681309 1.14965743518996 -0.236518386558091 0.0936637579031503 -0.402992329498446 1.3093285715953
