## Alexa IDT for ACES
## 08-Mar-2011
"CCT" "RR" "RG" "RB" "GR" "GG" "GB" "BR" "BG" "BB"
2000 0.795933351263462 0.0423360501298249 0.161730598606713 -0.0195050602988410 1.07568122876749 -0.0561761684686524 0.0133384877527507 -0.38726767780177 1.37392919004902
2100 0.793320080436216 0.0460667892164453 0.160613130347339 -0.00963864894987128 1.06383522809105 -0.0541965791411783 0.0180804599835335 -0.384995057667939 1.36691459768441
2200 0.791118965918426 0.0502401132569522 0.158640920824622 -0.00119099821898617 1.05509129988278 -0.0539003016637971 0.0217427506628414 -0.380932527463071 1.35918977680023
2400 0.787767312847904 0.0590459905555999 0.153186696596496 0.0125027176561189 1.04404369510205 -0.0565464127581687 0.0269111683162875 -0.370414395632558 1.34350322731627
2600 0.785590799477927 0.0677350459639655 0.146674154558107 0.0231310081031932 1.03863792391422 -0.0617689320174095 0.0303062305654073 -0.359181970655814 1.32887574009041
2900 0.78407963649551 0.0797928347680175 0.136127528736472 0.0353027209811648 1.03673886005802 -0.0720415810391848 0.0336257739056581 -0.343550507433142 1.30992473352748
3200 0.78419250586693 0.090440843701282 0.125366650431788 0.0445200613055228 1.03913000344571 -0.0836500647512373 0.0358296879568874 -0.330242459530422 1.29441277157353
3500 0.78550462673774 0.0997427627709771 0.114752610491283 0.0518092871083398 1.04389485254109 -0.0957041396494318 0.0374520610442906 -0.319189217301343 1.28173715625705
3900 0.788566630675596 0.110335519617507 0.101097849706897 0.0595270100598189 1.05219994073355 -0.111726950793372 0.0391191741534395 -0.307346297927463 1.26822712377402
4300 0.78738558732604 0.124584366389729 0.0880300462842306 0.0636347157435924 1.05728518779105 -0.120919903534646 0.0405873830536194 -0.306782298852156 1.26619491579854
4700 0.79058420571682 0.133665155968372 0.0757506383148087 0.068953573985346 1.06597821878791 -0.13493179277326 0.0419003905289726 -0.298330298172255 1.25642990764328
5100 0.794698974184672 0.141222623837532 0.0640784019777961 0.0735002937840791 1.07506529267672 -0.148565586460803 0.0430345394295964 -0.291418336179895 1.2483837967503
5600 0.80056735368178 0.149000312264393 0.050432334053826 0.0783252531705349 1.08645845802783 -0.164783711198366 0.0442602220578849 -0.284523590668607 1.24026336861072
6500 0.811774144784245 0.159644301553209 0.028581553662546 0.0852029392953169 1.10596979351853 -0.191172732813846 0.0460596279854021 -0.275645726612857 1.22958609862745
7500 0.823787817401445 0.168126220387133 0.00808596221142266 0.0909331770046814 1.12528014149242 -0.216213318497106 0.0476191096978703 -0.269211192138695 1.22159208244083
9000 0.839545576746044 0.176921132617128 -0.0164667093631721 0.0971043962001834 1.14929788137071 -0.246402277570898 0.0493700935213154 -0.263310775152596 1.21394068163128
11000 0.856168225549842 0.18455290040805 -0.0407211259578919 0.102619701819929 1.17368748480122 -0.276307186621149 0.0510038519601696 -0.258937993990563 1.20793414203039
