## Alexa white balancing gain values and slope for green/magenta tint.
## 02-Jun-2010
"CCT" "Rgain" "Ggain" "Bgain" "slope"
2000 0.678630160460973 1 3.59577547018704 2.09228463395181
2100 0.72305444995219 1 3.37286344346732 1.95420909642217
2200 0.766291768827824 1 3.17652793890711 1.83617199408175
2400 0.848981071166857 1 2.84919691438596 1.64560919771295
2600 0.926453411494714 1 2.58978260364868 1.49905778346252
2900 1.03291111908051 1 2.29143495970141 1.33409292896705
3200 1.12819534227395 1 2.06876242531779 1.21258133151611
3500 1.21319627897915 1 1.89766795201405 1.11960438371688
3900 1.31228042543190 1 1.72423495951007 1.02519499370355
4300 1.42601878700813 1 1.64671062573958 0.953558948748238
4700 1.50513205106292 1 1.53998102983745 0.897441457810942
5100 1.57311568240735 1 1.45340280902262 0.852373371364672
5600 1.64496170551578 1 1.36672332519109 0.807252833447887
6500 1.74582860460422 1 1.25281974633738 0.747300278898163
7500 1.82756918502203 1 1.16674426916595 0.701032095104873
9000 1.9125177076447 1 1.08282068390227 0.654752924905618
11000 1.98534647073472 1 1.01512149270246 0.616549486511244
